strategy,scenario,phase,period_index,calendar_year,build_year,op_year,occupancy,it_kw,rent_eur_per_kw_month,gross_potential_revenue,revenue,opex,noi,capex,debt_draw,equity_draw,interest,principal,debt_service,debt_balance_end,terminal_or_sale_value,project_cashflow,equity_cashflow,dscr,discount_factor_project,discount_factor_equity,discounted_project_cf,discounted_equity_cf,cum_project_cf,cum_equity_cf
Powered Shell,Base,Build,0,2026,1.0,,0.0,12000.0,52.0,0.0,0.0,0.0,0.0,-34200000.0,20520000.0,13680000.0,0.0,0.0,0.0,20520000.0,0.0,-34200000.0,-13680000.0,,1.0,1.0,-34200000.0,-13680000.0,-34200000.0,-13680000.0
Powered Shell,Base,Build,1,2027,2.0,,0.0,12000.0,52.0,0.0,0.0,0.0,0.0,-22800000.0,13680000.0,9120000.0,0.0,0.0,0.0,34200000.0,0.0,-22800000.0,-9120000.0,,0.9174311926605504,0.8849557522123894,-20917431.192660548,-8070796.460176991,-57000000.0,-22800000.0
Powered Shell,Base,Operate,2,2028,,1.0,0.28,12000.0,52.0,7488000.0,2096640.0000000002,850000.0,1246640.0000000002,0.0,0.0,0.0,2086200.0,1458170.7673725947,3544370.7673725947,32741829.232627407,0.0,1246640.0000000002,-2297730.767372594,0.35172392557681587,0.84167999326656,0.7831466833737961,1049271.9468058245,-1799460.2297537746,-55753360.0,-25097730.767372593
Powered Shell,Base,Operate,3,2029,,2.0,0.52,12000.0,52.0,7637760.0,3971635.2,871249.9999999999,3100385.2,0.0,0.0,0.0,1997251.5831902719,1547119.1841823228,3544370.7673725947,31194710.048445083,0.0,3100385.2,-443985.5673725945,0.8747350103833194,0.7721834800610642,0.6930501622776957,2394066.2332658186,-307704.2695165314,-52652974.8,-25541716.334745187
Powered Shell,Base,Operate,4,2030,,3.0,0.72,12000.0,52.0,7790515.2,5609170.944,893031.2499999999,4716139.694,0.0,0.0,0.0,1902877.3129551501,1641493.4544174445,3544370.7673725947,29553216.59402764,0.0,4716139.694,1171768.9266274055,1.3305999861566473,0.7084252110651963,0.6133187276793768,3341032.2581349,718667.8272133493,-47936835.106,-24369947.408117782
Powered Shell,Base,Operate,5,2031,,4.0,0.84,12000.0,52.0,7946325.504000002,6674913.423360001,915357.0312499997,5759556.392110001,0.0,0.0,0.0,1802746.212235686,1741624.5551369088,3544370.7673725947,27811592.03889073,0.0,5759556.392110001,2215185.6247374066,1.6249869920859044,0.6499313862983452,0.5427599359994485,3743316.4703875487,1202314.0079093731,-42177278.71389,-22154761.783380374
Powered Shell,Base,Operate,6,2032,,5.0,0.9,12000.0,52.0,8105252.01408,7294726.812672,938240.9570312497,6356485.85564075,0.0,0.0,0.0,1696507.1143723344,1847863.6530002602,3544370.7673725947,25963728.38589047,0.0,6356485.85564075,2812115.0882681557,1.7934031942015896,0.5962673268792158,0.48031852743314035,3790164.829488455,1350710.9781694761,-35820792.85824925,-19342646.695112217
Powered Shell,Base,Operate,7,2033,,6.0,0.93,12000.0,52.0,8267357.0543616,7688642.060556289,961696.9809570308,6726945.079599258,0.0,0.0,0.0,1583787.4315393185,1960583.3358332762,3544370.7673725947,24003145.05005719,0.0,6726945.079599258,3182574.312226663,1.8979236431819102,0.5470342448433172,0.42506064374614194,3679869.321721048,1352787.0859250003,-29093847.77864999,-16160072.382885555
Powered Shell,Base,Operate,8,2034,,7.0,0.95,12000.0,52.0,8432704.195448833,8011068.98567639,985739.4054809564,7025329.580195433,0.0,0.0,0.0,1464191.8480534886,2080178.919319106,3544370.7673725947,21922966.130738087,0.0,7025329.580195433,3480958.812822839,1.9821091080161564,0.501866279672768,0.3761598617222495,3525776.019887731,1309396.985692285,-22068518.198454555,-12679113.570062716
Powered Shell,Base,Operate,9,2035,,8.0,0.95,12000.0,52.0,8601358.27935781,8171290.365389919,1010382.8906179804,7160907.474771938,0.0,0.0,0.0,1337300.9339750232,2207069.8333975715,3544370.7673725947,19715896.297340516,0.0,7160907.474771938,3616536.7073993436,2.0203607197901152,0.4604277795163009,0.3328848333825217,3297080.727930925,1203890.2192644041,-14907610.723682616,-9062576.862663371
Powered Shell,Base,Operate,10,2036,,9.0,0.95,12000.0,52.0,8773385.444944967,8334716.172697718,1035642.4628834297,7299073.709814289,0.0,0.0,0.0,1202669.6741377714,2341701.093234823,3544370.767372594,17374195.204105694,0.0,7299073.709814289,3754702.9424416944,2.0593425995398946,0.42241080689568883,0.2945883481261255,3083207.6153537626,1106091.7375182016,-7608537.013868327,-5307873.920221677
Powered Shell,Base,Operate,11,2037,,10.0,0.95,12000.0,52.0,8948853.153843865,8501410.49615167,1061533.5244555154,7439876.971696155,0.0,0.0,0.0,1059825.9074504473,2484544.8599221474,3544370.7673725947,14889650.344183546,101111557.91343737,108551434.88513352,90117413.77357738,2.099068483518517,0.3875328503630173,0.2606976532089606,42067246.972031265,23493398.284032486,100942897.87126519,84809539.8533557
